日期,指数名称,当前价格,PE-TTM,52周最高,52周最低,估值等级,颜色
2026-05-13,标普500(SPX),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,纳斯达克100(NDX),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,日经225(N225),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,英国富时100(FTSE),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,法国CAC40(FCHI),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,德国DAX(GDAXI),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,沪深300,抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,中证500,抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,恒生指数(HSI),抓取失败,0,-,-,数据异常,#9e9e9e
2026-05-13,恒生科技(HSTECH),抓取失败,0,-,-,数据异常,#9e9e9e
